,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Skibbereen,IE,51.55,-9.2667,63.1,94,100,15.5,overcast clouds
1,Voh,NC,-20.9667,164.7,71.35,89,63,1.45,broken clouds
2,Kailua,US,21.4022,-157.7394,76.98,80,100,11.5,overcast clouds
3,College,US,64.8569,-147.8028,59.58,93,100,3.44,overcast clouds
4,Katsuura,JP,35.1333,140.3,80.2,93,100,8.32,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,10.36,light rain
6,Oksovskiy,RU,62.6062,39.8984,68.83,62,100,9.37,overcast clouds
7,San Patricio,US,28.017,-97.5169,95.07,40,22,14.0,few clouds
8,Mataura,NZ,-46.1927,168.8643,44.47,79,72,9.37,broken clouds
9,Nemuro,JP,43.3236,145.575,59.4,94,98,11.14,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,54.91,70,100,1.99,overcast clouds
11,Jamestown,US,42.097,-79.2353,77.52,56,75,14.97,broken clouds
12,Amapa,BR,1.0,-52.0,88.84,52,30,5.17,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,59.11,85,0,9.22,clear sky
14,Yellowknife,CA,62.456,-114.3525,63.12,45,20,5.75,few clouds
15,Maceio,BR,-9.6658,-35.7353,76.44,94,100,11.5,light rain
16,Avera,US,33.194,-82.5271,89.55,41,90,9.55,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,76,8.99,broken clouds
18,Albany,US,42.6001,-73.9662,85.03,65,35,9.4,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,81,75,4.61,light intensity drizzle
20,Schio,IT,45.7124,11.3574,88.86,45,34,1.99,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,56.8,79,15,2.33,few clouds
22,Kabwe,ZM,-14.4469,28.4464,64.56,51,15,11.95,few clouds
23,Busselton,AU,-33.65,115.3333,51.53,66,95,26.57,overcast clouds
24,Nanortalik,GL,60.1432,-45.2371,47.82,79,94,12.91,overcast clouds
25,Margate,GB,51.3813,1.3862,76.69,67,77,7.0,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,72.07,76,92,20.11,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,41.13,63,4,4.9,clear sky
28,Akdepe,TM,42.0551,59.3788,87.89,28,51,11.52,broken clouds
29,Anloga,GH,5.7947,0.8973,75.47,74,84,14.25,broken clouds
30,Aranda De Duero,ES,41.6704,-3.6892,96.37,17,36,12.48,scattered clouds
31,Georgetown,MY,5.4112,100.3354,79.95,94,40,5.01,moderate rain
32,Port Alfred,ZA,-33.5906,26.891,59.18,75,72,7.14,broken clouds
33,Chokurdakh,RU,70.6333,147.9167,52.34,68,100,5.3,overcast clouds
