City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nemuro,JP,2022-07-29 21:42:56,43.3236,145.575,66.11,94,99,8.84
1,Cayenne,GF,2022-07-29 21:42:25,4.9333,-52.3333,82.09,1,75,1.14
2,Georgetown,MY,2022-07-29 21:38:05,5.4112,100.3354,82.33,95,20,5.75
3,Hobart,AU,2022-07-29 21:40:20,-42.8794,147.3294,40.05,83,20,5.75
4,Ewa Beach,US,2022-07-29 21:42:56,21.3156,-158.0072,85.37,54,40,6.91
5,Port Alfred,ZA,2022-07-29 21:42:57,-33.5906,26.891,56.17,88,15,4.0
6,Kodiak,US,2022-07-29 21:42:57,57.79,-152.4072,56.71,82,100,9.22
7,Albany,US,2022-07-29 21:42:58,42.6001,-73.9662,86.58,45,0,1.01
8,Chenghai,CN,2022-07-29 21:42:58,23.4632,116.768,75.11,94,0,0.0
9,Bredasdorp,ZA,2022-07-29 21:42:59,-34.5322,20.0403,51.4,67,96,6.29
10,Yabrud,SY,2022-07-29 21:42:59,33.9674,36.6574,73.8,28,1,2.1
11,Rikitea,PF,2022-07-29 21:42:59,-23.1203,-134.9692,73.22,72,9,18.7
12,Hermanus,ZA,2022-07-29 21:43:00,-34.4187,19.2345,49.8,68,100,11.68
13,Rybnik,PL,2022-07-29 21:42:25,50.0971,18.5418,67.33,92,69,5.01
14,Thompson,CA,2022-07-29 21:41:40,55.7435,-97.8558,71.76,64,100,10.36
15,Busselton,AU,2022-07-29 21:43:01,-33.65,115.3333,51.24,65,98,22.64
16,Suntar,RU,2022-07-29 21:43:01,62.1444,117.6319,64.65,93,16,4.65
17,Valdez,EC,2022-07-29 21:43:01,1.2492,-78.9831,79.3,82,75,13.11
18,Narsaq,GL,2022-07-29 21:43:02,60.9167,-46.05,62.82,71,87,4.23
19,Los Llanos De Aridane,ES,2022-07-29 21:43:02,28.6585,-17.9182,72.12,75,100,18.41
20,Champerico,GT,2022-07-29 21:43:03,14.3,-91.9167,90.14,78,50,9.22
21,Fortuna,US,2022-07-29 21:43:03,40.5982,-124.1573,69.93,75,40,16.11
22,Port Elizabeth,ZA,2022-07-29 21:43:04,-33.918,25.5701,55.69,86,0,18.41
23,San Patricio,US,2022-07-29 21:43:04,28.017,-97.5169,100.17,45,14,17.87
24,Lumphat,KH,2022-07-29 21:43:04,13.4878,106.9816,73.42,98,97,1.34
25,Northview,US,2022-07-29 21:43:05,43.0456,-85.6006,78.08,53,75,17.27
26,Hay River,CA,2022-07-29 21:43:05,60.8156,-115.7999,62.58,59,75,6.91
27,Punta Arenas,CL,2022-07-29 21:43:06,-53.15,-70.9167,39.31,81,40,37.98
28,Butaritari,KI,2022-07-29 21:43:06,3.0707,172.7902,82.11,74,3,14.32
29,New Norfolk,AU,2022-07-29 21:43:07,-42.7826,147.0587,39.7,87,59,2.98
30,Moerai,PF,2022-07-29 21:43:07,-22.4333,-151.3333,73.92,81,0,24.02
31,Panacan,PH,2022-07-29 21:43:08,9.2463,118.4082,80.2,84,100,6.46
32,Raudeberg,NO,2022-07-29 21:43:08,61.9875,5.1352,56.07,80,100,7.74
33,Jamestown,US,2022-07-29 21:40:57,42.097,-79.2353,76.95,40,0,11.5
34,Avarua,CK,2022-07-29 21:43:04,-21.2078,-159.775,77.05,73,40,11.5
35,Ancud,CL,2022-07-29 21:43:09,-41.8697,-73.8203,49.23,87,63,4.56
36,Kapaa,US,2022-07-29 21:43:09,22.0752,-159.319,82.47,66,20,11.5
37,Yala,TH,2022-07-29 21:43:10,6.3333,101.25,74.08,97,89,2.98
38,Grindavik,IS,2022-07-29 21:43:10,63.8424,-22.4338,51.75,71,40,19.57
39,Acajutla,SV,2022-07-29 21:43:11,13.5928,-89.8275,83.21,75,41,7.2
40,San Cristobal,VE,2022-07-29 21:43:11,7.7669,-72.225,80.78,65,29,4.83
41,Clyde River,CA,2022-07-29 21:43:11,70.4692,-68.5914,43.03,93,100,12.66
42,Hella,NO,2022-07-29 21:43:12,67.2,14.4333,53.76,92,0,5.75
43,Walvis Bay,NA,2022-07-29 21:43:12,-22.9575,14.5053,53.1,71,76,2.3
44,Ushuaia,AR,2022-07-29 21:43:13,-54.8,-68.3,38.86,81,100,16.11
45,Araouane,ML,2022-07-29 21:43:13,18.9048,-3.5265,90.73,42,85,11.34
46,Pevek,RU,2022-07-29 21:44:14,69.7008,170.3133,44.2,75,20,16.15
47,Kedrovyy,RU,2022-07-29 21:44:14,56.1667,91.8167,61.21,97,97,4.0
48,Chuy,UY,2022-07-29 21:44:15,-33.6971,-53.4616,47.19,87,0,5.64
49,Hasaki,JP,2022-07-29 21:44:15,35.7333,140.8333,79.29,86,2,5.66
50,Bandarbeyla,SO,2022-07-29 21:44:15,9.4942,50.8122,75.87,86,88,29.35
51,Hithadhoo,MV,2022-07-29 21:44:16,-0.6,73.0833,78.22,88,100,20.58
52,Tiksi,RU,2022-07-29 21:44:16,71.6872,128.8694,45.64,87,100,5.77
53,Avera,US,2022-07-29 21:44:17,33.194,-82.5271,94.55,43,99,5.5
54,Batagay-Alyta,RU,2022-07-29 21:44:17,67.8006,130.4114,61.23,86,100,3.44
55,Vaini,TO,2022-07-29 21:44:17,-21.2,-175.2,78.96,89,40,11.5
56,Juegang,CN,2022-07-29 21:44:18,32.3174,121.1855,81.91,91,7,7.61
57,Mahebourg,MU,2022-07-29 21:44:18,-20.4081,57.7,68.29,77,75,12.66
58,Dingle,PH,2022-07-29 21:44:19,10.9995,122.6711,77.05,89,82,7.31
59,Russell,US,2022-07-29 21:44:19,32.3502,-85.1999,92.8,55,0,4.61
60,Rundu,NA,2022-07-29 21:44:20,-17.9333,19.7667,58.42,32,9,4.47
61,Erenhot,CN,2022-07-29 21:44:20,43.6475,111.9767,76.62,34,99,18.72
62,Carnarvon,AU,2022-07-29 21:44:20,-24.8667,113.6333,64.22,78,99,18.95
63,Marfino,RU,2022-07-29 21:44:21,55.7028,37.3822,62.94,66,0,8.95
64,Petropavlovsk-Kamchatskiy,RU,2022-07-29 21:44:21,53.0452,158.6483,61.39,67,40,4.47
65,Novyy Svit,UA,2022-07-29 21:44:22,47.8059,38.0211,73.53,49,73,12.68
66,Atuona,PF,2022-07-29 21:44:22,-9.8,-139.0333,76.89,73,17,21.63
67,Trairi,BR,2022-07-29 21:42:52,-3.2778,-39.2689,78.75,80,24,12.75
68,Mataura,NZ,2022-07-29 21:44:23,-46.1927,168.8643,37.47,93,84,0.87
69,Curitibanos,BR,2022-07-29 21:44:23,-27.2828,-50.5844,42.71,89,8,4.85
70,Barrow,US,2022-07-29 21:44:24,71.2906,-156.7887,37.2,82,100,6.76
71,Serebryansk,KZ,2022-07-29 21:44:25,49.6925,83.2892,61.43,76,65,2.01
72,Leshukonskoye,RU,2022-07-29 21:44:25,64.8989,45.7622,59.99,84,8,4.97
73,Palmer,US,2022-07-29 21:44:25,42.1584,-72.3287,88.41,50,40,10.36
74,Tabuk,PH,2022-07-29 21:44:26,17.4189,121.4443,74.68,93,100,2.59
75,Calabozo,VE,2022-07-29 21:44:26,8.9242,-67.4293,82.44,79,35,2.91
76,Mackay,AU,2022-07-29 21:43:44,-21.15,149.2,55.69,70,0,13.0
77,Pinheiro Machado,BR,2022-07-29 21:44:27,-31.5783,-53.3811,45.05,90,2,4.03
78,Airai,TL,2022-07-29 21:44:27,-8.9266,125.4092,53.4,86,42,3.2
79,Sorland,NO,2022-07-29 21:44:27,67.667,12.6934,53.46,88,22,8.3
80,Vuktyl,RU,2022-07-29 21:44:28,63.8567,57.3094,61.75,64,48,1.81
81,Kukes,AL,2022-07-29 21:44:28,42.0769,20.4219,74.21,57,0,4.21
82,Chokurdakh,RU,2022-07-29 21:44:29,70.6333,147.9167,51.58,81,100,9.98
83,Vytegra,RU,2022-07-29 21:44:29,61.0064,36.4481,54.73,97,15,7.4
84,Visby,SE,2022-07-29 21:44:30,57.6409,18.296,55.81,94,1,4.61
85,Provideniya,RU,2022-07-29 21:44:30,64.3833,-173.3,52.92,62,100,3.62
86,Qaanaaq,GL,2022-07-29 21:44:30,77.484,-69.3632,41.99,57,1,0.4
87,Aklavik,CA,2022-07-29 21:45:31,68.2191,-135.0107,44.6,100,100,2.3
88,Kroya,ID,2022-07-29 21:45:31,-7.6331,109.2461,75.69,88,99,6.93
89,Cape Town,ZA,2022-07-29 21:40:53,-33.9258,18.4232,52.21,84,40,6.91
90,Pucallpa,PE,2022-07-29 21:45:32,-8.3791,-74.5539,89.64,51,20,4.61
91,Waddan,LY,2022-07-29 21:45:32,29.1614,16.139,85.32,43,0,13.85
92,Lavrentiya,RU,2022-07-29 21:45:33,65.5833,-171.0,47.41,77,85,9.73
